# num_greedy 30
1 ; 512.0 ; [13.11930594 10.16496853 21.22783659  0.98316595 18.73217892 19.7507029 ]
2 ; 538.0 ; [12.58857266 11.94215505 22.50436486 -0.97364928 18.07945906 24.09326999]
3 ; 538.0 ; [12.58857266 11.94215505 22.50436486 -0.97364928 18.07945906 24.09326999]
4 ; 563.0 ; [13.30961513 15.11335608 19.41489265  2.56936769 22.38537262 22.16475011]
5 ; 563.0 ; [13.30961513 15.11335608 19.41489265  2.56936769 22.38537262 22.16475011]
6 ; 563.0 ; [13.30961513 15.11335608 19.41489265  2.56936769 22.38537262 22.16475011]
7 ; 563.0 ; [13.30961513 15.11335608 19.41489265  2.56936769 22.38537262 22.16475011]
8 ; 563.0 ; [13.30961513 15.11335608 19.41489265  2.56936769 22.38537262 22.16475011]
9 ; 563.0 ; [13.30961513 15.11335608 19.41489265  2.56936769 22.38537262 22.16475011]
10 ; 563.0 ; [13.30961513 15.11335608 19.41489265  2.56936769 22.38537262 22.16475011]
11 ; 569.0 ; [13.27093182 17.92072087 22.5209773   3.18537477 24.98104445 23.0732518 ]
12 ; 569.0 ; [13.27093182 17.92072087 22.5209773   3.18537477 24.98104445 23.0732518 ]
13 ; 626.0 ; [ 8.97184446 18.9305388  20.92359769  7.2720743  27.19422665 20.95300311]
14 ; 626.0 ; [ 8.97184446 18.9305388  20.92359769  7.2720743  27.19422665 20.95300311]
15 ; 645.0 ; [ 7.88296676 22.59330799 16.68144493  7.10480995 26.43091227 22.17154072]
16 ; 645.0 ; [ 7.88296676 22.59330799 16.68144493  7.10480995 26.43091227 22.17154072]
17 ; 647.0 ; [ 7.00516434 24.9434489  19.09793832  8.99767624 22.64948618 22.24959852]
18 ; 647.0 ; [ 7.00516434 24.9434489  19.09793832  8.99767624 22.64948618 22.24959852]
19 ; 647.0 ; [ 7.00516434 24.9434489  19.09793832  8.99767624 22.64948618 22.24959852]
20 ; 647.0 ; [ 7.00516434 24.9434489  19.09793832  8.99767624 22.64948618 22.24959852]
21 ; 647.0 ; [ 7.00516434 24.9434489  19.09793832  8.99767624 22.64948618 22.24959852]
22 ; 647.0 ; [ 7.00516434 24.9434489  19.09793832  8.99767624 22.64948618 22.24959852]
23 ; 647.0 ; [ 7.00516434 24.9434489  19.09793832  8.99767624 22.64948618 22.24959852]
24 ; 647.0 ; [ 7.00516434 24.9434489  19.09793832  8.99767624 22.64948618 22.24959852]
25 ; 647.0 ; [ 7.00516434 24.9434489  19.09793832  8.99767624 22.64948618 22.24959852]
26 ; 647.0 ; [ 7.00516434 24.9434489  19.09793832  8.99767624 22.64948618 22.24959852]
27 ; 647.0 ; [ 7.00516434 24.9434489  19.09793832  8.99767624 22.64948618 22.24959852]
28 ; 647.0 ; [ 7.00516434 24.9434489  19.09793832  8.99767624 22.64948618 22.24959852]
29 ; 647.0 ; [ 7.00516434 24.9434489  19.09793832  8.99767624 22.64948618 22.24959852]
30 ; 647.0 ; [ 7.00516434 24.9434489  19.09793832  8.99767624 22.64948618 22.24959852]
31 ; 647.0 ; [ 7.00516434 24.9434489  19.09793832  8.99767624 22.64948618 22.24959852]
32 ; 647.0 ; [ 7.00516434 24.9434489  19.09793832  8.99767624 22.64948618 22.24959852]
33 ; 647.0 ; [ 7.00516434 24.9434489  19.09793832  8.99767624 22.64948618 22.24959852]
34 ; 647.0 ; [ 7.00516434 24.9434489  19.09793832  8.99767624 22.64948618 22.24959852]
35 ; 647.0 ; [ 7.00516434 24.9434489  19.09793832  8.99767624 22.64948618 22.24959852]
36 ; 647.0 ; [ 7.00516434 24.9434489  19.09793832  8.99767624 22.64948618 22.24959852]
37 ; 647.0 ; [ 7.00516434 24.9434489  19.09793832  8.99767624 22.64948618 22.24959852]
38 ; 647.0 ; [ 7.00516434 24.9434489  19.09793832  8.99767624 22.64948618 22.24959852]
39 ; 647.0 ; [ 7.00516434 24.9434489  19.09793832  8.99767624 22.64948618 22.24959852]
