# num_simulated_annealing 30
56 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
57 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
58 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
59 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
60 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
61 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
62 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
63 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
64 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
65 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
66 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
67 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
68 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
69 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
70 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
71 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
72 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
73 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
74 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
75 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
76 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
77 ; 663.0 ; [10.86135337  8.89730006 22.4607357  16.24383518  7.81448904 22.56324865]
